回答者ID,年代,利用頻度,利用機能,満足度
72,10代,月に1回程度,現在借りている本や予約中の資料を確認する機能;借りた本に感想を残す機能;返却期限を延長する機能;資料を予約する機能;利用者登録や更新を申請する機能;貸出履歴の機能,5
73,10代,月に1回程度,返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能;貸出履歴の機能;資料を予約する機能,1
74,60代以上,月に1回程度,図書館アプリを使うつもりはない,3
75,50代,月に1回程度,図書館アプリを使うつもりはない,2
76,50代,月に1回程度,借りた本に感想を残す機能;貸出履歴の機能,5
77,50代,それ以下,貸出履歴の機能;現在借りている本や予約中の資料を確認する機能;借りた本に感想を残す機能,1
78,10代,月に数回,返却期限がわかる(お知らせする)機能;利用者登録や更新を申請する機能;お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;借りた本に感想を残す機能,4
79,20代,それ以下,借りた本に感想を残す機能;利用者登録や更新を申請する機能;お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;返却期限を延長する機能,5
80,10代,月に数回,借りた本に感想を残す機能;現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能,4
81,60代以上,月に1回程度,返却期限を延長する機能;返却期限がわかる(お知らせする)機能;お気に入りの資料を登録する機能,3
82,40代,月に数回,図書館アプリを使うつもりはない,2
83,20代,月に1回程度,貸出履歴の機能;お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;返却期限がわかる(お知らせする)機能;利用者登録や更新を申請する機能,4
84,10代,週に数回以上,返却期限がわかる(お知らせする)機能;資料を予約する機能;返却期限を延長する機能;貸出履歴の機能;借りた本に感想を残す機能,4
85,20代,月に1回程度,利用者登録や更新を申請する機能;返却期限がわかる(お知らせする)機能;資料を予約する機能,4
86,20代,週に数回以上,お気に入りの資料を登録する機能;返却期限を延長する機能;借りた本に感想を残す機能;資料を予約する機能;貸出履歴の機能,5
87,50代,月に1回程度,返却期限がわかる(お知らせする)機能;貸出履歴の機能;現在借りている本や予約中の資料を確認する機能,1
88,50代,月に1回程度,図書館アプリを使うつもりはない,1
89,60代以上,週に数回以上,貸出履歴の機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能,5
90,30代,月に1回程度,返却期限を延長する機能;資料を予約する機能;現在借りている本や予約中の資料を確認する機能;貸出履歴の機能,5
91,10代,週に数回以上,お気に入りの資料を登録する機能;返却期限を延長する機能;貸出履歴の機能,4
92,50代,週に数回以上,お気に入りの資料を登録する機能;返却期限を延長する機能,3
93,50代,それ以下,図書館アプリを使うつもりはない,1
94,40代,月に1回程度,資料を予約する機能;借りた本に感想を残す機能;返却期限を延長する機能,3
95,50代,週に1回程度,お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能,3
96,30代,月に1回程度,お気に入りの資料を登録する機能;資料を予約する機能;返却期限を延長する機能,3
97,40代,それ以下,お気に入りの資料を登録する機能;利用者登録や更新を申請する機能;貸出履歴の機能;借りた本に感想を残す機能;返却期限を延長する機能,4
98,30代,月に数回,お気に入りの資料を登録する機能;返却期限を延長する機能;返却期限がわかる(お知らせする)機能;資料を予約する機能,2
99,10代,月に数回,返却期限を延長する機能;返却期限がわかる(お知らせする)機能;お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;借りた本に感想を残す機能;利用者登録や更新を申請する機能,5
100,10代,週に数回以上,返却期限がわかる(お知らせする)機能;資料を予約する機能;借りた本に感想を残す機能,5
101,10代,週に数回以上,資料を予約する機能;返却期限を延長する機能;借りた本に感想を残す機能;返却期限がわかる(お知らせする)機能,4
102,50代,月に1回程度,借りた本に感想を残す機能,3
103,20代,月に1回程度,借りた本に感想を残す機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能,3
104,40代,月に1回程度,借りた本に感想を残す機能;利用者登録や更新を申請する機能;貸出履歴の機能;お気に入りの資料を登録する機能;資料を予約する機能;返却期限を延長する機能,5
105,60代以上,月に数回,借りた本に感想を残す機能,3
106,20代,それ以下,返却期限がわかる(お知らせする)機能;借りた本に感想を残す機能;返却期限を延長する機能;資料を予約する機能;現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能,3
107,30代,月に1回程度,借りた本に感想を残す機能;資料を予約する機能;返却期限を延長する機能,5
108,50代,月に数回,図書館アプリを使うつもりはない,3
109,20代,それ以下,貸出履歴の機能;返却期限がわかる(お知らせする)機能;返却期限を延長する機能;借りた本に感想を残す機能;お気に入りの資料を登録する機能;資料を予約する機能,5
110,10代,週に数回以上,貸出履歴の機能;資料を予約する機能;お気に入りの資料を登録する機能;その他,4
111,20代,月に1回程度,現在借りている本や予約中の資料を確認する機能;資料を予約する機能;借りた本に感想を残す機能,4
112,10代,週に数回以上,返却期限がわかる(お知らせする)機能;返却期限を延長する機能;貸出履歴の機能;現在借りている本や予約中の資料を確認する機能,4
113,60代以上,週に数回以上,図書館アプリを使うつもりはない,4
114,60代以上,それ以下,返却期限がわかる(お知らせする)機能;利用者登録や更新を申請する機能,4
115,40代,それ以下,返却期限がわかる(お知らせする)機能;お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能,1
116,60代以上,月に数回,借りた本に感想を残す機能;返却期限を延長する機能;貸出履歴の機能,1
117,60代以上,週に1回程度,図書館アプリを使うつもりはない,1
118,10代,週に数回以上,資料を予約する機能;貸出履歴の機能;返却期限がわかる(お知らせする)機能;利用者登録や更新を申請する機能,5
119,60代以上,週に数回以上,現在借りている本や予約中の資料を確認する機能;返却期限がわかる(お知らせする)機能;利用者登録や更新を申請する機能,5
120,40代,月に数回,資料を予約する機能;利用者登録や更新を申請する機能;貸出履歴の機能;返却期限がわかる(お知らせする)機能;現在借りている本や予約中の資料を確認する機能,3
121,60代以上,週に1回程度,借りた本に感想を残す機能,3
122,60代以上,月に数回,お気に入りの資料を登録する機能;貸出履歴の機能;資料を予約する機能,2
123,20代,それ以下,お気に入りの資料を登録する機能;返却期限を延長する機能;借りた本に感想を残す機能;利用者登録や更新を申請する機能;返却期限がわかる(お知らせする)機能,5
124,10代,週に数回以上,利用者登録や更新を申請する機能;返却期限を延長する機能;資料を予約する機能,5
125,20代,それ以下,貸出履歴の機能;現在借りている本や予約中の資料を確認する機能;返却期限を延長する機能;返却期限がわかる(お知らせする)機能;資料を予約する機能;お気に入りの資料を登録する機能,5
126,30代,それ以下,利用者登録や更新を申請する機能;お気に入りの資料を登録する機能;貸出履歴の機能;返却期限がわかる(お知らせする)機能;現在借りている本や予約中の資料を確認する機能,4
127,60代以上,月に数回,図書館アプリを使うつもりはない,2
128,60代以上,月に数回,図書館アプリを使うつもりはない,1
129,10代,週に1回程度,お気に入りの資料を登録する機能;貸出履歴の機能;借りた本に感想を残す機能;返却期限を延長する機能,2
130,40代,月に数回,図書館アプリを使うつもりはない,3
131,30代,月に1回程度,返却期限を延長する機能;返却期限がわかる(お知らせする)機能;貸出履歴の機能;利用者登録や更新を申請する機能;借りた本に感想を残す機能;資料を予約する機能,5
132,10代,月に数回,貸出履歴の機能;お気に入りの資料を登録する機能;返却期限を延長する機能;返却期限がわかる(お知らせする)機能;利用者登録や更新を申請する機能,5
133,10代,週に数回以上,貸出履歴の機能;現在借りている本や予約中の資料を確認する機能;お気に入りの資料を登録する機能;利用者登録や更新を申請する機能,5
134,20代,週に1回程度,返却期限を延長する機能;貸出履歴の機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能,4
135,60代以上,週に数回以上,利用者登録や更新を申請する機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能,4
136,20代,週に数回以上,返却期限がわかる(お知らせする)機能;お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能;資料を予約する機能,5
137,40代,それ以下,返却期限がわかる(お知らせする)機能;貸出履歴の機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能,5
138,50代,それ以下,貸出履歴の機能;資料を予約する機能,2
139,20代,月に1回程度,お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;借りた本に感想を残す機能;返却期限を延長する機能;利用者登録や更新を申請する機能;その他,4
140,60代以上,週に数回以上,返却期限がわかる(お知らせする)機能,1
141,60代以上,週に1回程度,図書館アプリを使うつもりはない,4
142,20代,月に1回程度,資料を予約する機能;お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能;返却期限を延長する機能,4
143,30代,月に数回,借りた本に感想を残す機能;返却期限を延長する機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能,3
144,20代,月に1回程度,現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能;貸出履歴の機能;お気に入りの資料を登録する機能;資料を予約する機能,4
145,20代,月に1回程度,返却期限がわかる(お知らせする)機能;資料を予約する機能;借りた本に感想を残す機能,4
146,10代,月に数回,お気に入りの資料を登録する機能;貸出履歴の機能;利用者登録や更新を申請する機能;返却期限を延長する機能;返却期限がわかる(お知らせする)機能;現在借りている本や予約中の資料を確認する機能,3
147,40代,月に1回程度,資料を予約する機能;貸出履歴の機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能;借りた本に感想を残す機能;返却期限を延長する機能,2
148,40代,週に数回以上,利用者登録や更新を申請する機能;借りた本に感想を残す機能;資料を予約する機能;現在借りている本や予約中の資料を確認する機能;その他,4
149,10代,週に1回程度,お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;返却期限を延長する機能;返却期限がわかる(お知らせする)機能;貸出履歴の機能,4
150,20代,月に1回程度,お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能;借りた本に感想を残す機能;返却期限を延長する機能;返却期限がわかる(お知らせする)機能,5
151,60代以上,週に1回程度,図書館アプリを使うつもりはない,2
152,20代,それ以下,図書館アプリを使うつもりはない,3
153,10代,月に数回,利用者登録や更新を申請する機能;お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能,4
154,30代,月に数回,利用者登録や更新を申請する機能;資料を予約する機能;お気に入りの資料を登録する機能;返却期限を延長する機能;貸出履歴の機能;現在借りている本や予約中の資料を確認する機能,4
155,60代以上,週に数回以上,資料を予約する機能;借りた本に感想を残す機能,4
156,20代,月に1回程度,お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能;貸出履歴の機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能;その他,4
157,50代,週に数回以上,図書館アプリを使うつもりはない,1
158,50代,月に1回程度,図書館アプリを使うつもりはない,1
159,20代,それ以下,お気に入りの資料を登録する機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能,5
160,50代,月に1回程度,図書館アプリを使うつもりはない,2
161,30代,月に1回程度,現在借りている本や予約中の資料を確認する機能;資料を予約する機能;返却期限がわかる(お知らせする)機能;利用者登録や更新を申請する機能;借りた本に感想を残す機能;返却期限を延長する機能,4
162,40代,月に1回程度,現在借りている本や予約中の資料を確認する機能;貸出履歴の機能;利用者登録や更新を申請する機能,3
163,40代,月に1回程度,現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能;返却期限を延長する機能;お気に入りの資料を登録する機能;資料を予約する機能,2
164,40代,月に1回程度,資料を予約する機能;貸出履歴の機能;お気に入りの資料を登録する機能;返却期限を延長する機能;返却期限がわかる(お知らせする)機能;利用者登録や更新を申請する機能,1
165,10代,月に1回程度,お気に入りの資料を登録する機能;資料を予約する機能;返却期限を延長する機能;利用者登録や更新を申請する機能;借りた本に感想を残す機能;貸出履歴の機能,3
166,60代以上,週に1回程度,返却期限がわかる(お知らせする)機能;借りた本に感想を残す機能;現在借りている本や予約中の資料を確認する機能,3
167,20代,それ以下,貸出履歴の機能;借りた本に感想を残す機能;利用者登録や更新を申請する機能;返却期限がわかる(お知らせする)機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能,3
168,10代,月に1回程度,返却期限がわかる(お知らせする)機能;返却期限を延長する機能;利用者登録や更新を申請する機能;借りた本に感想を残す機能;お気に入りの資料を登録する機能;資料を予約する機能,4
169,10代,週に数回以上,貸出履歴の機能;借りた本に感想を残す機能;資料を予約する機能;お気に入りの資料を登録する機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能,5
170,40代,週に1回程度,お気に入りの資料を登録する機能;貸出履歴の機能;返却期限を延長する機能;借りた本に感想を残す機能;資料を予約する機能,3
171,50代,週に1回程度,図書館アプリを使うつもりはない,2
172,10代,週に数回以上,資料を予約する機能;借りた本に感想を残す機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能;貸出履歴の機能;その他,5
173,40代,週に1回程度,資料を予約する機能;返却期限を延長する機能;返却期限がわかる(お知らせする)機能;貸出履歴の機能,3
174,10代,月に数回,貸出履歴の機能;借りた本に感想を残す機能;お気に入りの資料を登録する機能,4
175,50代,週に1回程度,図書館アプリを使うつもりはない,3
176,10代,週に1回程度,現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能;お気に入りの資料を登録する機能;資料を予約する機能;返却期限がわかる(お知らせする)機能;貸出履歴の機能,5
177,50代,それ以下,資料を予約する機能,1
178,30代,週に数回以上,現在借りている本や予約中の資料を確認する機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能;借りた本に感想を残す機能;貸出履歴の機能,5
179,60代以上,月に1回程度,借りた本に感想を残す機能,3
180,10代,週に数回以上,返却期限がわかる(お知らせする)機能;資料を予約する機能;現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能,3
181,20代,週に1回程度,お気に入りの資料を登録する機能;利用者登録や更新を申請する機能;資料を予約する機能;貸出履歴の機能,4
182,10代,月に数回,現在借りている本や予約中の資料を確認する機能;借りた本に感想を残す機能;返却期限を延長する機能;返却期限がわかる(お知らせする)機能;資料を予約する機能;その他,5
183,60代以上,月に数回,利用者登録や更新を申請する機能;貸出履歴の機能;返却期限を延長する機能,3
184,60代以上,月に1回程度,利用者登録や更新を申請する機能;資料を予約する機能,2
185,20代,それ以下,資料を予約する機能;お気に入りの資料を登録する機能;返却期限を延長する機能;利用者登録や更新を申請する機能;返却期限がわかる(お知らせする)機能;貸出履歴の機能,4
186,50代,それ以下,借りた本に感想を残す機能,2
187,60代以上,週に数回以上,図書館アプリを使うつもりはない,1
188,40代,月に数回,お気に入りの資料を登録する機能;借りた本に感想を残す機能;返却期限がわかる(お知らせする)機能,2
189,40代,それ以下,返却期限を延長する機能;貸出履歴の機能;資料を予約する機能;利用者登録や更新を申請する機能;返却期限がわかる(お知らせする)機能,2
190,20代,それ以下,資料を予約する機能;貸出履歴の機能;借りた本に感想を残す機能;現在借りている本や予約中の資料を確認する機能,3
191,10代,それ以下,返却期限がわかる(お知らせする)機能;現在借りている本や予約中の資料を確認する機能;お気に入りの資料を登録する機能;貸出履歴の機能;返却期限を延長する機能,2
192,60代以上,週に1回程度,図書館アプリを使うつもりはない,2
193,60代以上,週に1回程度,利用者登録や更新を申請する機能;借りた本に感想を残す機能,2
194,40代,それ以下,利用者登録や更新を申請する機能;貸出履歴の機能;返却期限がわかる(お知らせする)機能;現在借りている本や予約中の資料を確認する機能;返却期限を延長する機能;お気に入りの資料を登録する機能,3
195,20代,月に数回,貸出履歴の機能;現在借りている本や予約中の資料を確認する機能;返却期限を延長する機能;借りた本に感想を残す機能;返却期限がわかる(お知らせする)機能;お気に入りの資料を登録する機能,5
196,20代,それ以下,借りた本に感想を残す機能;お気に入りの資料を登録する機能;貸出履歴の機能;返却期限がわかる(お知らせする)機能;現在借りている本や予約中の資料を確認する機能,4
197,50代,それ以下,貸出履歴の機能;利用者登録や更新を申請する機能;資料を予約する機能,3
198,60代以上,週に1回程度,お気に入りの資料を登録する機能;貸出履歴の機能;返却期限がわかる(お知らせする)機能,2
199,60代以上,月に数回,返却期限がわかる(お知らせする)機能,2
200,60代以上,月に数回,図書館アプリを使うつもりはない,1
